RenSMART Solar Panel Comparison Table,,,,,,,,,,,
Product,Manufacturer,Width (mm),Height (mm),Area (Metre Squared),Watts per metre squared,Efficiency %,Technology,Peak Output (Watts),Peak Voltage (Volts),Peak Current (Amps),Maximum System Voltage (Volts)
PV-TD175MF5,Mitsubishi,1658,834,1.38,126.56,12.66,Polycrystalline,175,23.9,7.32,1000
PV-TD180MF5,Mitsubishi,1658,834,1.38,130.17,13.02,Polycrystalline,180,24.2,7.45,1000
PV-TD185MF5,Mitsubishi,1658,834,1.38,133.79,13.38,Polycrystalline,185,24.4,7.58,1000
PV-TD190MF5,Mitsubishi,1658,834,1.38,137.41,13.74,Polycrystalline,190,24.7,7.71,1000
PV-TE130MF5N,Mitsubishi,1495,674,1.01,129.02,12.9,Polycrystalline,130,17.4,7.47,1000
PV-TE125MF5N,Mitsubishi,1495,674,1.01,124.05,12.41,Polycrystalline,125,17.3,7.23,1000
PV-TE120MF5N,Mitsubishi,1495,674,1.01,119.09,11.91,Polycrystalline,120,17.2,6.99,1000
PV-TE115MF5N,Mitsubishi,1495,674,1.01,114.13,11.41,Polycrystalline,115,17.1,6.75,1000
PV-MF185TD4,Mitsubishi,1658,834,1.38,133.79,13.38,Polycrystalline,185,24.4,7.58,780
PV-MF180TD4,Mitsubishi,1658,834,1.38,130.17,13.02,Polycrystalline,180,24.2,7.45,780
PV-MF175TD4,Mitsubishi,1658,834,1.38,126.56,12.66,Polycrystalline,175,23.9,7.32,780
PV-MF170TD4,Mitsubishi,1658,834,1.38,122.94,12.29,Polycrystalline,170,23.7,7.19,780
PV-MF130TE4N,Mitsubishi,1495,674,1.01,129.02,12.9,Polycrystalline,130,17.4,7.47,780
PV-MF125TE4N,Mitsubishi,1495,674,1.01,124.05,12.41,Polycrystalline,125,17.3,7.23,780
PV-MF120TE4N,Mitsubishi,1495,674,1.01,119.09,11.91,Polycrystalline,120,17.2,6.99,780
PV-MF115TE4N,Mitsubishi,1495,674,1.01,114.13,11.41,Polycrystalline,115,17.1,6.75,780
PV-AD190MF5,Mitsubishi,1658,834,1.38,137.41,13.74,Polycrystalline,190,24.7,7.71,1000
PV-AD185MF5,Mitsubishi,1658,834,1.38,133.79,13.38,Polycrystalline,185,24.4,7.58,1000
PV-AD180MF5,Mitsubishi,1658,834,1.38,130.17,13.02,Polycrystalline,180,24.2,7.45,1000
PV-AD175MF5,Mitsubishi,1658,834,1.38,126.56,12.66,Polycrystalline,175,23.9,7.32,1000
PV-AE130MF5N,Mitsubishi,1495,674,1.01,129.02,12.9,Polycrystalline,130,17.4,8.05,1000
PV-AE125MF5N,Mitsubishi,1495,674,1.01,124.05,12.41,Polycrystalline,125,17.3,7.9,1000
PV-AE120MF5N,Mitsubishi,1495,674,1.01,119.09,11.91,Polycrystalline,120,17.2,7.75,1000
PV-AE115MF5N,Mitsubishi,1495,674,1.01,114.13,11.41,Polycrystalline,115,17.1,7.6,1000
PV-MF170EB4,Mitsubishi,1580,800,1.26,134.49,13.45,Polycrystalline,170,24.6,6.93,780
PV-MF165EB4,Mitsubishi,1580,800,1.26,130.54,13.05,Polycrystalline,165,24.2,7.36,780
PV-MF125EA4,Mitsubishi,1248,803,1,124.73,12.47,Polycrystalline,125,18.8,6.63,600
PV-MF120EC4,Mitsubishi,1425,646,0.92,130.36,13.04,Polycrystalline,120,17.6,6.84,780
PV-MF110EC4,Mitsubishi,1425,646,0.92,119.49,11.95,Polycrystalline,110,17.1,6.43,780
PV-MF160EB4,Mitsubishi,1580,800,1.26,126.58,12.66,Polycrystalline,160,23.8,6.72,780
PV-MF130EA4,Mitsubishi,1248,803,1,129.72,12.97,Polycrystalline,130,19.2,6.79,600
YL 165 P-23b,Yingli,1310,990,1.3,127.23,12.72,Polycrystalline,165,23,7.17,1000
YL 170 P-23b,Yingli,1310,990,1.3,131.08,13.11,Polycrystalline,170,23,7.39,1000
YL 175 P-23b,Yingli,1310,990,1.3,134.94,13.49,Polycrystalline,175,23,7.61,1000
YL 180 P-23b,Yingli,1310,990,1.3,138.79,13.88,Polycrystalline,180,23,7.83,1000
YL 185 P-23b,Yingli,1310,990,1.3,142.65,14.26,Polycrystalline,185,23.5,7.87,1000
YL 260 P-35b,Yingli,1970,990,1.95,133.31,13.33,Polycrystalline,260,35,7.43,1000
YL 265 P-35b,Yingli,1970,990,1.95,135.88,13.59,Polycrystalline,265,35.3,7.5,1000
YL 270 P-35b,Yingli,1970,990,1.95,138.44,13.84,Polycrystalline,270,35.3,7.65,1000
YL 275 P-35b,Yingli,1970,990,1.95,141,14.1,Polycrystalline,275,35.5,7.75,1000
YL 280 P-35b,Yingli,1970,990,1.95,143.57,14.36,Polycrystalline,280,35.5,7.89,1000
YL 235 P-32b ,Yingli,1810,990,1.79,131.15,13.11,Polycrystalline,235,32,7.34,1000
YL 240 P-32b ,Yingli,1810,990,1.79,133.94,13.39,Polycrystalline,240,32.2,7.45,1000
YL 245 P-32b ,Yingli,1810,990,1.79,136.73,13.67,Polycrystalline,245,32.2,7.61,1000
YL 250 P-32b ,Yingli,1810,990,1.79,139.52,13.95,Polycrystalline,250,32.3,7.74,1000
YL 255 P-32b ,Yingli,1810,990,1.79,142.31,14.23,Polycrystalline,255,32.5,7.85,1000
YL 210 P-29b,Yingli,1650,990,1.63,128.56,12.86,Polycrystalline,210,28.5,7.37,1000
YL 215 P-29b,Yingli,1650,990,1.63,131.62,13.16,Polycrystalline,215,29,7.41,1000
YL 220 P-29b,Yingli,1650,990,1.63,134.68,13.47,Polycrystalline,220,29,7.59,1000
YL 225 P-29b,Yingli,1650,990,1.63,137.74,13.77,Polycrystalline,225,29,7.63,1000
YL 230 P-29b,Yingli,1650,990,1.63,140.8,14.08,Polycrystalline,230,29.5,7.8,1000
YL 235 P-29b,Yingli,1650,990,1.63,143.86,14.39,Polycrystalline,235,29.5,7.97,1000
YL 190 P-26b,Yingli,1495,990,1.48,128.37,12.84,Polycrystalline,190,25.8,7.36,1000
YL 195 P-26b,Yingli,1495,990,1.48,131.75,13.18,Polycrystalline,195,26,7.5,1000
YL 200 P-26b,Yingli,1495,990,1.48,135.13,13.51,Polycrystalline,200,26.3,7.6,1000
YL 205 P-26b,Yingli,1495,990,1.48,138.51,13.85,Polycrystalline,205,26.5,7.74,1000
YL 210 P-26b,Yingli,1495,990,1.48,141.89,14.19,Polycrystalline,210,26.6,7.9,1000
YL175Wp,Yingli,1310,990,1.3,134.94,13.49,Polycrystalline,175,23.5,7.5,1000
YL180Wp,Yingli,1310,990,1.3,138.79,13.88,Polycrystalline,180,23,7.8,1000
YL210Wp,Yingli,1650,990,1.63,128.56,12.86,Polycrystalline,210,29.5,7.2,1000
YL230Wp,Yingli,1650,990,1.63,140.8,14.08,Polycrystalline,230,30,7.66,1000
YL260P-35b,Yingli,1970,990,1.95,133.31,13.33,Polycrystalline,260,35,7.43,1000
YL265P-35b,Yingli,1970,990,1.95,135.88,13.59,Polycrystalline,265,35.3,7.5,1000
YL270-35b,Yingli,1970,990,1.95,138.44,13.84,Polycrystalline,270,35.3,7.65,1000
YL275-35b,Yingli,1970,990,1.95,141,14.1,Polycrystalline,275,35.5,7.75,1000
YL280-35b,Yingli,1970,990,1.95,143.57,14.36,Polycrystalline,280,35.5,7.89,1000
315 Solar Panel,SunPower,1559,1046,1.63,193.17,19.32,Monocrystalline,315,54.7,5.76,600
230 Solar Panel,SunPower,1559,798,1.24,184.88,18.49,Monocrystalline,230,41,5.61,600
225 Solar Panel,SunPower,1559,798,1.24,180.86,18.09,Monocrystalline,225,41,5.49,600
215 Solar Panel,SunPower,1559,798,1.24,172.82,17.28,Monocrystalline,215,39.8,5.4,600
210 Solar Panel,SunPower,1559,798,1.24,168.8,16.88,Monocrystalline,210,40,5.25,600
STP210-18/Ud,Suntech,1482,992,1.47,142.84,14.28,Polycrystalline,210,26.4,7.95,1000
STP205-18/Ud,Suntech,1482,992,1.47,146.24,14.62,Polycrystalline,215,26.3,7.8,1000
STP225-20-Wd,Suntech,1665,991,1.65,136.36,13.64,Polycrystalline,225,29.6,7.61,1000
STP220-20-Wd,Suntech,1665,991,1.65,133.33,13.33,Polycrystalline,220,29.5,7.46,1000
STP195S-24-Ad+,Suntech,1580,808,1.28,152.74,15.27,Polycrystalline,195,36.6,5.33,1000
STP190S-24-Ad+,Suntech,1580,808,1.28,148.83,14.88,Polycrystalline,190,36.5,5.2,1000
STP090Ts-AA,Suntech,1300,1100,1.43,62.94,6.29,Thinfilm,90,73.2,1.23,1000
STP086Ts-AA,Suntech,1300,1100,1.43,60.14,6.01,Thinfilm,86,72.3,1.19,1000
STP082s-AA,Suntech,1300,1100,1.43,57.34,5.73,Thinfilm,82,71.3,1.15,1000
STP380Ts-DA,Suntech,2600,2200,5.72,66.43,6.64,Thinfilm,380,148.4,2.56,1000
STP370Ts-DA,Suntech,2600,2200,5.72,64.69,6.47,Thinfilm,370,147.4,2.51,1000
STP360Ts-DA,Suntech,2600,2200,5.72,62.94,6.29,Thinfilm,360,146.3,2.46,1000
STP350Ts-DA,Suntech,2600,2200,5.72,61.19,6.12,Thinfilm,350,145.2,2.41,1000
STP185Ts-BA,Suntech,2200,1300,2.86,64.69,6.47,Thinfilm,185,147.4,1.26,1000
STP180s-BA,Suntech,2200,1300,2.86,62.94,6.29,Thinfilm,180,146.4,1.23,1000
STP175s-BA,Suntech,2200,1300,2.86,61.19,6.12,Thinfilm,175,145.2,1.21,1000
STP170s-BA,Suntech,2200,1300,2.86,59.44,5.94,Thinfilm,170,144.1,1.18,1000
STP090Ts-AC,Suntech,1309,1109,1.45,62,6.2,Thinfilm,90,73.2,1.23,1000
STP086Ts-AC,Suntech,1309,1109,1.45,59.24,5.92,Thinfilm,86,72.3,1.19,1000
STP082Ts-AC,Suntech,1309,1109,1.45,56.49,5.65,Thinfilm,82,71.3,1.15,1000
STP185Ts-CA,Suntech,2600,1100,2.86,64.69,6.47,Thinfilm,185,73.7,2.51,1000
STP180Ts-CA,Suntech,2600,1100,2.86,62.94,6.29,Thinfilm,180,73.2,2.46,1000
STP175Ts-CA,Suntech,2600,1100,2.86,61.19,6.12,Thinfilm,175,72.6,2.41,1000
STP170Ts-CA,Suntech,2600,1100,2.86,59.44,5.94,Thinfilm,170,72,2.36,1000
STP185S-24-Ad,Suntech,1580,808,1.28,144.91,14.49,Monocrystalline,185,36.4,5.09,1000
STP180S-24-Ad,Suntech,1580,808,1.28,141,14.1,Monocrystalline,180,36,5,1000
STP280-24-Vd,Suntech,1956,992,1.94,144.3,14.43,Monocrystalline,280,35.2,7.95,1000
STP275-24-Vd,Suntech,1956,992,1.94,141.73,14.17,Monocrystalline,275,35.1,7.84,1000
C21e,SolarCentury,1220,420,0.51,101.48,10.15,Monocrystalline,52,9.8,5.3,600
